time,stress,Theoretical displacement,Actual displacement,
0,nan,0,0,
0.201,nan,0,0,
0.401,nan,0,0,
0.604,inf,0,0.841471,
0.812,inf,0,0.841471,
1.009,inf,0,1.81859,
1.22,inf,0,1.81859,
1.415,inf,0,1.81859,
1.619,inf,0,0.42336,
1.822,inf,0,0.42336,
2.026,inf,0,3.02721,
2.228,inf,0,3.02721,
2.431,inf,0,3.02721,
2.637,inf,0,4.79462,
2.845,inf,0,4.79462,
3.041,inf,0,1.67649,
3.244,inf,0,1.67649,
3.45,inf,0,1.67649,
3.651,inf,0,4.59891,
3.853,inf,0,4.59891,
4.06,inf,0,7.91487,
4.259,inf,0,7.91487,
4.467,inf,0,7.91487,
4.669,inf,0,3.70907,
4.868,inf,0,3.70907,
5.075,inf,0,5.44021,
5.276,inf,0,5.44021,
5.479,inf,0,5.44021,
5.683,inf,0,10.9999,
5.888,inf,0,10.9999,
6.095,inf,0,6.43888,
6.292,inf,0,6.43888,
6.499,inf,0,5.46217,
6.7,inf,0,5.46217,
6.899,inf,0,5.46217,
7.106,inf,0,13.8685,
7.311,inf,0,13.8685,
7.51,inf,0,9.75432,
7.713,inf,0,9.75432,
7.917,inf,0,9.75432,
8.127,inf,0,4.60645,
8.324,inf,0,4.60645,
8.531,inf,0,16.3438,
8.728,inf,0,16.3438,
8.931,inf,0,16.3438,
9.134,inf,0,13.5178,
9.345,inf,0,13.5178,
9.54,inf,0,2.84767,
9.747,inf,0,2.84767,
9.948,inf,0,2.84767,
10.154,inf,0,18.2589,
10.353,inf,0,18.2589,
10.556,inf,0,17.5698,
10.76,inf,0,17.5698,
10.964,inf,0,17.5698,
11.165,inf,0,0.194729,
11.373,inf,0,0.194729,
11.572,inf,0,19.4631,
11.78,inf,0,19.4631,
11.979,inf,0,19.4631,
12.188,inf,0,21.7339,
12.386,inf,0,21.7339,
12.593,inf,0,3.30879,
12.792,inf,0,3.30879,
12.996,inf,0,19.8265,
13.199,inf,0,19.8265,
13.405,inf,0,19.8265,
13.604,inf,0,25.8222,
13.812,inf,0,25.8222,
14.011,inf,0,7.58536,
14.217,inf,0,7.58536,
14.416,inf,0,7.58536,
14.626,inf,0,19.2454,
14.824,inf,0,19.2454,
15.027,inf,0,29.6409,
15.23,inf,0,29.6409,
15.437,inf,0,29.6409,
15.634,inf,0,12.5252,
15.842,inf,0,12.5252,
16.043,inf,0,17.6457,
16.244,inf,0,17.6457,
16.447,inf,0,17.6457,
16.658,inf,0,32.9971,
16.854,inf,0,32.9971,
17.06,inf,0,17.9888,
17.26,inf,0,17.9888,
17.469,inf,0,17.9888,
17.667,inf,0,14.9864,
17.874,inf,0,14.9864,
18.077,inf,0,35.704,
18.275,inf,0,35.704,
18.477,inf,0,35.704,
18.683,inf,0,23.8109,
18.884,inf,0,23.8109,
19.088,inf,0,11.262,
19.293,inf,0,11.262,
19.502,inf,0,37.588,
19.699,inf,0,37.588,
19.901,inf,0,37.588,
20.104,inf,0,29.8045,
20.307,inf,0,29.8045,
20.509,inf,0,6.50353,
20.72,inf,0,6.50353,
20.917,inf,0,6.50353,
21.122,inf,0,38.4939,
21.326,inf,0,38.4939,
21.534,inf,0,35.7663,
21.729,inf,0,35.7663,
21.936,inf,0,35.7663,
22.137,inf,0,0.778885,
22.339,inf,0,0.778885,
22.541,inf,0,38.2907,
22.751,inf,0,38.2907,
22.947,inf,0,38.2907,
23.156,inf,0,41.4823,
23.355,inf,0,41.4823,
23.556,inf,0,5.80794,
23.761,inf,0,5.80794,
23.968,inf,0,5.80794,
24.167,inf,0,36.8762,
24.371,inf,0,36.8762,
24.572,inf,0,46.7339,
24.779,inf,0,46.7339,
24.977,inf,0,46.7339,
25.187,inf,0,13.1187,
25.388,inf,0,13.1187,
25.588,inf,0,34.1817,
25.79,inf,0,34.1817,
25.997,inf,0,51.3046,
26.201,inf,0,51.3046,
26.404,inf,0,51.3046,
26.605,inf,0,20.984,
26.814,inf,0,20.984,
27.011,inf,0,30.1746,
27.216,inf,0,30.1746,
27.416,inf,0,30.1746,
27.618,inf,0,54.9865,
27.823,inf,0,54.9865,
28.033,inf,0,29.2069,
28.228,inf,0,29.2069,
28.435,inf,0,29.2069,
28.638,inf,0,24.8614,
28.844,inf,0,24.8614,
29.041,inf,0,57.5866,
29.251,inf,0,57.5866,
29.45,inf,0,57.5866,
29.65,inf,0,37.5675,
29.855,inf,0,37.5675,
30.065,inf,0,18.2886,
30.259,inf,0,18.2886,
30.465,inf,0,18.2886,
30.668,inf,0,58.9332,
30.873,inf,0,58.9332,
31.076,inf,0,45.8292,
31.283,inf,0,45.8292,
31.478,inf,0,45.8292,
31.683,inf,0,10.5434,
31.885,inf,0,10.5434,
32.096,inf,0,58.8817,
32.291,inf,0,58.8817,
32.499,inf,0,53.7439,
32.698,inf,0,53.7439,
32.899,inf,0,53.7439,
33.105,inf,0,1.75238,
33.306,inf,0,1.75238,
33.511,inf,0,57.3198,
33.715,inf,0,57.3198,
33.918,inf,0,57.3198,
34.124,inf,0,61.0591,
34.323,inf,0,61.0591,
34.53,inf,0,7.92015,
34.728,inf,0,7.92015,
34.931,inf,0,7.92015,
35.135,inf,0,54.1723,
35.345,inf,0,54.1723,
35.543,inf,0,67.5249,
35.747,inf,0,67.5249,
35.947,inf,0,67.5249,
36.151,inf,0,18.2753,
36.353,inf,0,18.2753,
36.562,inf,0,49.4044,
36.762,inf,0,49.4044,
36.964,inf,0,49.4044,
37.165,inf,0,72.9008,
37.376,inf,0,72.9008,
37.573,inf,0,29.0836,
37.78,inf,0,29.0836,
37.98,inf,0,29.0836,
38.184,inf,0,43.0242,
38.384,inf,0,43.0242,
38.595,inf,0,76.9631,
38.793,inf,0,76.9631,
38.993,inf,0,40.0903,
39.199,inf,0,40.0903,
39.401,inf,0,40.0903,
39.603,inf,0,35.0849,
39.811,inf,0,35.0849,
40.01,inf,0,79.5111,
40.22,inf,0,79.5111,
40.415,inf,0,79.5111,
40.624,inf,0,51.0209,
40.825,inf,0,51.0209,
41.028,inf,0,25.6848,
41.23,inf,0,25.6848,
41.44,inf,0,25.6848,
41.636,inf,0,80.3743,
41.841,inf,0,80.3743,
42.042,inf,0,61.588,
42.249,inf,0,61.588,
42.452,inf,0,61.588,
42.656,inf,0,14.9664,
42.854,inf,0,14.9664,
43.059,inf,0,79.4174,
43.26,inf,0,79.4174,
43.467,inf,0,79.4174,
43.667,inf,0,71.4982,
43.875,inf,0,71.4982,
44.076,inf,0,3.11505,
44.275,inf,0,3.11505,
44.479,inf,0,3.11505,
44.681,inf,0,76.5462,
44.888,inf,0,76.5462,
45.092,inf,0,80.4597,
45.291,inf,0,80.4597,
45.499,inf,0,9.64486,
45.699,inf,0,9.64486,
45.905,inf,0,9.64486,
46.104,inf,0,71.7109,
46.308,inf,0,71.7109,
46.511,inf,0,88.1902,
46.716,inf,0,88.1902,
46.915,inf,0,88.1902,
47.124,inf,0,23.0537,
47.326,inf,0,23.0537,
47.525,inf,0,64.9099,
47.73,inf,0,64.9099,
