User,UserName,
Number,202401241939,
Material,,
Sample,,
area,,
length,,
size,,
strainRate,,
samplingRate,1,
testManner,,
driveBox,1,
motorSpeed,,
maxMotorSpeed,,
motorLength,,
maxMotorLength,,
motorCircle,,
sensorBox,1,
weighForce,,
maxWeighForce,,
CurrentTime,2024-01-24-19:39:43,
more,,
time,stress,Theoretical displacement,Actual displacement,
0.2,nan,0,0,
0.404,nan,0,0,
0.611,inf,0,0.841471,
0.811,inf,0,0.841471,
1.016,inf,0,1.81859,
1.217,inf,0,1.81859,
1.422,inf,0,1.81859,
1.624,inf,0,0.42336,
1.829,inf,0,0.42336,
2.03,inf,0,3.02721,
2.237,inf,0,3.02721,
2.435,inf,0,3.02721,
2.638,inf,0,4.79462,
2.843,inf,0,4.79462,
3.048,inf,0,1.67649,
3.25,inf,0,1.67649,
3.458,inf,0,1.67649,
3.657,inf,0,4.59891,
3.862,inf,0,4.59891,
4.062,inf,0,7.91487,
4.266,inf,0,7.91487,
4.47,inf,0,7.91487,
