User,,
Number,202402221539,
Material,,
Sample,,
area,,
length,,
size,,
strainRate,,
samplingRate,2,
testManner,,
driveBox,1,
motorSpeed,,
maxMotorSpeed,,
motorLength,,
maxMotorLength,,
motorCircle,,
sensorBox,2,
weighForce,,
maxWeighForce,,
CurrentTime,2024-02-22-15:39:46,
more,,
time,stress,Theoretical displacement,Actual displacement,
0.025,-inf,0,93.8725,
0.064,-inf,0,93.8725,
0.093,-inf,0,93.8725,
0.122,-inf,0,93.8725,
0.153,-inf,0,93.8725,
0.182,-inf,0,93.8725,
0.213,-inf,0,93.8725,
0.245,-inf,0,93.8725,
0.275,-inf,0,93.8308,
0.307,-inf,0,93.8203,
0.338,-inf,0,93.8203,
0.369,-inf,0,93.8089,
0.401,-inf,0,93.8089,
0.432,-inf,0,93.7958,
0.463,-inf,0,93.7958,
0.496,-inf,0,93.76,
0.525,-inf,0,93.76,
0.557,-inf,0,93.7367,
0.589,-inf,0,93.7106,
0.619,-inf,0,93.7106,
0.65,-inf,0,93.6847,
0.681,-inf,0,93.6847,
0.714,-inf,0,93.6697,
0.745,-inf,0,93.6117,
0.776,-inf,0,93.5678,
0.807,-inf,0,93.5678,
0.838,-inf,0,93.5569,
0.869,-inf,0,93.5569,
0.902,-inf,0,93.5447,
0.933,-inf,0,93.5447,
0.963,-inf,0,93.5067,
0.995,-inf,0,93.5067,
1.026,-inf,0,93.4589,
1.06,-inf,0,93.4411,
1.091,-inf,0,93.4289,
1.121,-inf,0,93.4289,
1.152,-inf,0,93.4097,
1.182,-inf,0,93.4097,
1.213,-inf,0,93.3958,
1.245,-inf,0,93.3958,
1.276,-inf,0,93.3722,
1.308,-inf,0,93.3375,
1.338,-inf,0,93.3203,
1.372,-inf,0,93.3203,
1.404,-inf,0,93.3203,
1.436,-inf,0,93.2936,
1.465,-inf,0,93.2936,
1.495,-inf,0,93.2814,
1.527,-inf,0,93.2492,
1.557,-inf,0,93.2492,
1.592,-inf,0,93.16,
1.62,-inf,0,93.16,
1.651,-inf,0,93.16,
1.682,-inf,0,93.1467,
1.714,-inf,0,93.1253,
1.744,-inf,0,93.1253,
1.775,-inf,0,93.0906,
1.808,-inf,0,93.0569,
1.842,-inf,0,93.0344,
1.869,-inf,0,93.0344,
1.902,-inf,0,93.0169,
1.932,-inf,0,93.0169,
1.963,-inf,0,93.0056,
1.994,-inf,0,93.0056,
2.025,-inf,0,92.9806,
2.056,-inf,0,92.9572,
2.088,-inf,0,92.9572,
2.122,-inf,0,92.9339,
2.153,-inf,0,92.9339,
2.186,-inf,0,92.9019,
2.215,-inf,0,92.9019,
2.245,-inf,0,92.8717,
2.276,-inf,0,92.8717,
2.307,-inf,0,92.8431,
2.338,-inf,0,92.7978,
2.371,-inf,0,92.7978,
2.402,-inf,0,92.7328,
2.432,-inf,0,92.7328,
2.464,-inf,0,92.7228,
2.494,-inf,0,92.7228,
2.526,-inf,0,92.6783,
2.557,-inf,0,92.6783,
2.589,-inf,0,92.6575,
2.619,-inf,0,92.6575,
2.652,-inf,0,92.6383,
2.685,-inf,0,92.6383,
2.715,-inf,0,92.6119,
2.744,-inf,0,92.6119,
2.776,-inf,0,92.5919,
2.809,-inf,0,92.5686,
2.838,-inf,0,92.5686,
2.872,-inf,0,92.5553,
2.902,-inf,0,92.5553,
2.933,-inf,0,92.5189,
2.964,-inf,0,92.5189,
2.995,-inf,0,92.5189,
3.027,-inf,0,92.4836,
3.059,-inf,0,92.4525,
3.09,-inf,0,92.4233,
3.121,-inf,0,92.4233,
3.152,-inf,0,92.3758,
3.182,-inf,0,92.3758,
3.213,-inf,0,92.3394,
3.244,-inf,0,92.3394,
3.276,-inf,0,92.31,
3.306,-inf,0,92.2917,
3.338,-inf,0,92.2917,
3.372,-inf,0,92.2753,
3.403,-inf,0,92.2753,
3.431,-inf,0,92.2447,
3.463,-inf,0,92.2447,
3.496,-inf,0,92.2058,
3.527,-inf,0,92.2058,
3.558,-inf,0,92.185,
3.59,-inf,0,92.185,
3.621,-inf,0,92.1578,
3.652,-inf,0,92.1578,
3.682,-inf,0,92.1283,
3.714,-inf,0,92.1283,
3.744,-inf,0,92.0861,
3.776,-inf,0,92.0667,
3.808,-inf,0,92.0367,
3.838,-inf,0,92.0367,
3.869,-inf,0,92.0142,
3.901,-inf,0,92.0142,
3.931,-inf,0,91.9983,
3.964,-inf,0,91.9983,
3.994,-inf,0,91.9481,
4.026,-inf,0,91.9064,
4.056,-inf,0,91.9064,
4.089,-inf,0,91.8956,
4.12,-inf,0,91.8956,
4.151,-inf,0,91.8769,
4.183,-inf,0,91.8769,
4.214,-inf,0,91.8494,
4.247,-inf,0,91.8494,
4.278,-inf,0,91.8039,
4.31,-inf,0,91.8039,
4.339,-inf,0,91.7742,
4.371,-inf,0,91.7742,
4.402,-inf,0,91.7497,
4.433,-inf,0,91.7497,
4.463,-inf,0,91.7497,
4.496,-inf,0,91.7497,
4.526,-inf,0,91.7225,
4.557,-inf,0,91.7225,
4.588,-inf,0,91.6911,
4.619,-inf,0,91.6525,
4.652,-inf,0,91.6525,
4.682,-inf,0,91.6125,
4.713,-inf,0,91.6125,
4.744,-inf,0,91.5878,
4.775,-inf,0,91.5878,
4.807,-inf,0,91.5478,
4.842,-inf,0,91.4956,
4.87,-inf,0,91.4956,
4.902,-inf,0,91.4797,
4.933,-inf,0,91.4797,
4.963,-inf,0,91.4578,
4.994,-inf,0,91.4578,
5.025,-inf,0,91.4256,
5.057,-inf,0,91.3744,
5.089,-inf,0,91.3744,
5.12,-inf,0,91.3581,
5.154,-inf,0,91.3581,
5.183,-inf,0,91.3367,
5.213,-inf,0,91.3367,
5.245,-inf,0,91.3125,
5.276,-inf,0,91.2875,
5.308,-inf,0,91.2528,
5.338,-inf,0,91.2528,
5.371,-inf,0,91.2375,
5.402,-inf,0,91.2375,
5.434,-inf,0,91.2256,
5.463,-inf,0,91.2256,
5.495,-inf,0,91.2011,
5.525,-inf,0,91.2011,
5.557,-inf,0,91.1764,
5.589,-inf,0,91.1314,
5.62,-inf,0,91.1314,
5.652,-inf,0,91.0881,
5.683,-inf,0,91.0881,
5.713,-inf,0,91.0622,
5.744,-inf,0,91.0622,
5.776,-inf,0,91.04,
5.808,-inf,0,91.0089,
5.839,-inf,0,90.9797,
5.869,-inf,0,90.9797,
5.901,-inf,0,90.9467,
5.932,-inf,0,90.9467,
5.963,-inf,0,90.9375,
5.995,-inf,0,90.9375,
6.026,-inf,0,90.9153,
6.059,-inf,0,90.8911,
6.089,-inf,0,90.8911,
6.121,-inf,0,90.8731,
6.15,-inf,0,90.8731,
6.182,-inf,0,90.8364,
6.213,-inf,0,90.8364,
6.245,-inf,0,90.8094,
6.275,-inf,0,90.7833,
6.307,-inf,0,90.7833,
6.342,-inf,0,90.7603,
6.37,-inf,0,90.7603,
6.4,-inf,0,90.7603,
6.432,-inf,0,90.7311,
6.464,-inf,0,90.6633,
6.495,-inf,0,90.6633,
6.525,-inf,0,90.6369,
6.556,-inf,0,90.6122,
6.589,-inf,0,90.5894,
6.621,-inf,0,90.5894,
6.651,-inf,0,90.5894,
6.683,-inf,0,0,
6.716,-inf,0,0,
6.746,-inf,0,0,
6.777,-inf,0,0,
6.808,-inf,0,0,
6.839,-inf,0,0,
6.87,-inf,0,0,
6.901,-inf,0,0,
6.932,-inf,0,0,
6.967,-inf,0,0,
6.997,-inf,0,0,
7.029,-inf,0,0,
7.059,-inf,0,0,
7.088,-inf,0,0,
7.121,-inf,0,0,
7.152,-inf,0,0,
7.183,-inf,0,0,
7.215,-inf,0,90.3597,
7.246,-inf,0,90.3597,
7.277,-inf,0,90.3131,
7.31,-inf,0,90.3131,
7.339,-inf,0,90.3131,
7.372,-inf,0,90.245,
7.401,-inf,0,90.245,
7.433,-inf,0,90.2258,
7.463,-inf,0,90.2258,
7.496,-inf,0,90.1992,
7.528,-inf,0,90.1617,
7.559,-inf,0,90.1617,
7.59,-inf,0,90.1239,
7.62,-inf,0,90.1239,
7.65,-inf,0,90.0986,
7.683,-inf,0,90.0986,
7.713,-inf,0,90.0986,
7.746,-inf,0,90.0825,
7.775,-inf,0,90.0581,
7.81,-inf,0,90.0197,
7.839,-inf,0,89.9814,
7.87,-inf,0,89.9814,
7.902,-inf,0,89.965,
7.934,-inf,0,89.965,
7.963,-inf,0,89.9406,
7.996,-inf,0,89.9406,
8.027,-inf,0,89.9217,
8.06,-inf,0,89.9217,
8.088,-inf,0,89.9217,
8.12,-inf,0,89.8631,
8.151,-inf,0,89.8264,
8.184,-inf,0,89.8264,
8.217,-inf,0,89.8106,
8.245,-inf,0,89.8106,
8.279,-inf,0,89.7844,
8.309,-inf,0,89.7519,
8.34,-inf,0,89.7519,
8.372,-inf,0,89.7139,
8.403,-inf,0,89.7139,
8.435,-inf,0,89.6992,
8.465,-inf,0,89.6992,
8.496,-inf,0,89.6753,
8.526,-inf,0,89.6753,
8.557,-inf,0,89.65,
8.588,-inf,0,89.65,
8.62,-inf,0,89.6228,
8.651,-inf,0,89.6228,
8.683,-inf,0,89.6228,
8.715,-inf,0,89.6228,
8.747,-inf,0,89.5825,
8.777,-inf,0,89.5517,
8.808,-inf,0,89.5517,
8.843,-inf,0,89.5242,
8.869,-inf,0,89.5242,
8.903,-inf,0,89.4869,
8.933,-inf,0,89.4869,
8.963,-inf,0,89.4139,
8.995,-inf,0,89.4139,
9.025,-inf,0,89.3939,
